emp_no,first_name,last_name,salary,salary_from_dt,title
13124,Quingbo,Garnick,73785,1985-03-17,Senior Staff
13133,Guther,Senzako,67777,1985-09-03,Senior Staff
13134,Lorien,Chepyzhov,51227,1987-10-23,Senior Engineer
13144,Persi,Nollmann,52825,1989-06-19,Senior Staff
13146,Haldon,Erie,61398,1985-05-25,Senior Staff
13147,Shichao,Ginesta,77429,1993-06-29,Senior Staff
13156,Akeel,Millington,48285,1992-08-18,Senior Engineer
13165,Lucian,Benner,42796,1988-03-16,Senior Engineer
13168,Munir,Stentiford,49210,1987-09-11,Senior Engineer
13170,Cheong,Bernardeschi,49012,1993-01-09,Senior Staff
13171,Anoosh,Birnbaum,40000,1987-08-31,Senior Engineer
13173,Arve,Horswill,46354,1987-09-24,Senior Staff
13179,Moty,Janocha,90233,1999-02-19,Staff
13182,Kokou,Rodite,46832,1999-03-03,Engineer
13186,Kyoichi,Barbanera,93138,1986-04-29,Senior Staff
13192,Rosita,Flowers,43986,1993-02-01,Technique Leader
13202,Aram,Scharstein,51915,1986-03-29,Senior Staff
13210,Jianhua,Klassen,83961,1997-07-27,Senior Staff
13213,Hein,Billawala,61131,1988-08-30,Senior Staff
13232,Mitchel,Fujisaki,40000,1986-06-02,Technique Leader
13233,Alselm,Chvatal,49414,1987-03-31,Senior Engineer
13238,Ebru,Foote,40000,1993-10-10,Senior Staff
13240,King,Pileggi,49018,1994-03-10,Senior Engineer
13250,Zeydy,Schusler,47829,1988-10-28,Senior Engineer
13272,Arun,Jiang,40000,1985-03-10,Senior Staff
13276,Yechiam,Seuren,65836,1986-03-09,Senior Staff
13288,Muneo,Broomell,40000,1987-04-14,Senior Staff
13291,Georg,Stamatiou,54720,1986-10-30,Senior Engineer
13302,Mack,Alencar,40000,1990-09-26,Senior Engineer
13315,Sakthirel,Stroustrup,40000,1991-06-02,Senior Engineer
13332,Nidapan,Pearson,40000,1987-09-24,Senior Engineer
13333,Yoshinari,Hennebert,50997,1988-03-23,Engineer
13341,Bodh,Doering,40000,1986-03-11,Senior Staff
13343,Heon,Usery,40000,1988-07-29,Senior Staff
13368,Kiyokazu,Klassen,52872,1997-09-30,Staff
13371,Nakhoon,Riexinger,40000,1991-12-13,Senior Engineer
13373,Juichirou,Naumovich,82749,1991-08-24,Senior Staff
13385,Claudi,Buchter,40000,1986-06-10,Senior Staff
13386,Khosrow,Sgarro,91420,1986-02-23,Technique Leader
13389,Divine,Cmelik,40000,1988-03-23,Senior Staff
13392,Fumitake,Beidas,69221,1988-08-26,Senior Staff
13396,Chuanyi,Aumann,40000,1994-03-29,Senior Staff
13402,Augustine,Dulli,40000,1999-09-12,Engineer
13405,Randy,Baba,60799,1990-05-10,Senior Staff
13407,Gio,Chenoweth,60348,1992-10-03,Senior Engineer
13408,Sreekrishna,Lagarias,52479,1995-07-25,Senior Engineer
13415,Nathalie,Speer,61838,1991-04-25,Technique Leader
13422,Vishwani,Gerlach,59466,1988-01-17,Senior Engineer
13442,Giordano,Miake,40000,1987-06-16,Senior Staff
13443,Mayuko,Puppo,40000,1990-12-26,Senior Engineer
13445,Renee,Dehkordi,53194,1996-11-29,Engineer
13451,Gretta,Weiland,40000,1986-08-23,Senior Staff
13457,Shooichi,Parfitt,40812,1986-01-18,Senior Engineer
13458,Feipei,Nivat,41375,1989-03-02,Senior Engineer
13463,Theron,Berstel,40000,1988-01-26,Senior Engineer
13465,Sasan,Rehfuss,49821,1999-03-12,Engineer
13493,Uinam,Jullig,40000,1987-09-07,Senior Engineer
13504,Parto,Mandell,41895,1986-12-21,Engineer
13524,Chaoyi,Porotnikoff,52849,1995-10-28,Senior Staff
13535,Arunas,Schlenzig,40000,1986-05-19,Senior Engineer
13546,Aimee,Brookner,50295,1988-10-26,Senior Engineer
13549,Matk,Koprowski,40000,1997-06-18,Technique Leader
13552,Ingmar,Capobianchi,73346,1985-03-23,Senior Staff
13576,Jungsoon,Engberts,73022,1992-08-29,Senior Staff
13605,Dmitry,Encarnacion,70404,1985-09-29,Senior Staff
13621,Fei,Haddadi,73192,1987-02-09,Engineer
13624,Zhigen,Yurek,40000,1987-05-12,Senior Staff
13629,Dzung,Trelles,40000,1987-01-03,Senior Engineer
13648,Zejun,Lamba,47723,1985-11-16,Technique Leader
13653,Kristen,Iivonen,53242,1991-01-17,Senior Staff
13670,Moti,Takanami,40000,1988-06-30,Senior Engineer
13680,Denny,Speer,46968,1996-02-05,Staff
13685,Weicheng,Hockney,48322,1991-11-29,Senior Engineer
13697,Shuichi,Weedon,40000,1985-06-20,Technique Leader
13704,Vishu,Kumaresan,40000,1987-10-01,Senior Engineer
13721,Sugwoo,Delgrossi,64754,1995-09-21,Senior Staff
13727,Vitali,Merey,50798,1999-10-07,Staff
13738,Bangqing,Mitchem,48349,1998-06-30,Engineer
13766,Tremaine,Heemskerk,43748,1986-08-18,Senior Staff
13769,Yakichi,Trogemann,61025,1988-10-18,Senior Staff
13775,Arve,Maierhofer,70161,1987-10-21,Senior Staff
13786,Takushi,Berendt,74494,1989-05-19,Senior Staff
13787,Xiaobin,Sinicrope,40000,1990-10-30,Senior Engineer
13792,Valery,Sury,59127,1985-07-27,Senior Staff
13796,Paloma,Thorelli,50962,1996-01-01,Engineer
13809,Kiyotoshi,Basagni,43735,1986-01-12,Senior Staff
13815,Guadalupe,Plotkin,40000,1985-09-09,Senior Engineer
13825,Arlette,Pell,54704,1986-08-02,Technique Leader
13841,Christophe,Spinelli,52277,1992-02-01,Technique Leader
13842,Juichirou,Cichocki,40000,1991-04-21,Senior Staff
13846,Guiseppe,Welham,61097,1985-03-20,Senior Staff
13853,Mingsen,Roohalamini,61615,1991-03-25,Senior Staff
13859,Anoosh,Fujisawa,40000,1987-08-23,Senior Engineer
13884,Kensei,Swift,44785,1998-12-21,Engineer
13894,Ult,Schonegge,48958,1987-11-28,Engineer
13904,Youngkon,Cairo,73885,1987-09-03,Senior Engineer
13934,Shiv,Bratsberg,46507,1990-04-05,Senior Engineer
13942,Elzbieta,Esteva,40000,1997-10-13,Technique Leader
13951,Mooi,Genther,82054,1985-12-28,Senior Staff
13960,Nechama,Hettesheimer,43204,1996-04-06,Senior Staff
13962,Maris,Ghelli,67965,1994-10-26,Senior Engineer
13966,Boguslaw,Cooman,40000,1990-12-26,Senior Staff
13969,Jianwen,Chandrasekhar,60392,1985-05-29,Technique Leader
13990,Deborah,Schapiro,52723,1988-06-10,Engineer
13992,Ulises,Kenevan,81318,1988-07-27,Senior Staff
13999,Florian,Crouzet,40000,1995-02-25,Senior Staff
14005,Vojin,Stellhorn,40000,1985-05-10,Technique Leader
14015,Manibrata,Picaronny,63084,1997-08-15,Senior Engineer
14034,Aloys,Seghrouchni,69700,1985-08-26,Senior Staff
14041,Shan,DeMori,63235,1987-12-22,Senior Staff
14067,Godehard,Trachtenberg,44669,1994-02-14,Senior Engineer
14088,Mori,Leslie,44821,1987-11-10,Senior Staff
14107,Xiahua,Rindone,82396,1991-12-15,Senior Staff
14111,Leszek,Cummings,52696,1992-09-25,Senior Staff
14118,Kasturi,Anido,46248,1985-04-06,Senior Staff
14167,Adas,Hertweck,40000,1985-12-01,Senior Engineer
14191,Jiann,Luby,40155,1987-01-16,Senior Engineer
14209,Masanao,Kusakabe,40000,1988-04-06,Senior Staff
14220,Tomofumi,Pargas,68017,1987-12-02,Senior Engineer
14232,Masali,Bojadziev,50568,1994-09-10,Senior Engineer
14236,Xuedong,Angiulli,40000,1988-11-07,Senior Staff
14237,Abdulla,Gerlach,57219,1986-06-13,Senior Engineer
14242,Sudhanshu,Benaini,40000,1985-06-27,Senior Staff
14257,Kwok,Massonet,40000,1998-02-04,Staff
14290,Miyeon,Olivero,78736,1992-03-29,Senior Engineer
14292,Susanna,Vigier,41846,1988-02-19,Senior Staff
14298,Chriss,Granlund,40000,1996-01-07,Senior Engineer
14310,Marlo,Leuchs,40000,1987-02-23,Senior Staff
14320,Sreenivas,Schaar,40000,1986-06-30,Senior Engineer
14322,Shem,Kakkad,50363,1999-11-19,Engineer
14323,Golgen,Leslie,40000,1997-08-05,Staff
14340,Vitaly,Wixon,42858,1986-12-19,Senior Engineer
14344,Otilia,Buescher,41979,1988-12-16,Technique Leader
14354,Mong,Bojadziev,40000,1985-08-28,Senior Staff
14360,Janche,Erbe,43476,1997-08-01,Senior Staff
14372,Saniya,Srimani,57667,1999-12-26,Engineer
14384,Tomofumi,Holburn,58260,1988-02-13,Technique Leader
14422,Toshimo,Gadepally,59001,1985-10-20,Senior Engineer
14434,Elvis,Maginnis,40000,1989-09-21,Technique Leader
14439,Raimond,Woycyznski,80654,1986-11-01,Senior Engineer
14460,Yagil,Lueh,56267,1988-01-23,Senior Engineer
14478,Munehiro,Boissier,40000,1992-06-28,Senior Staff
14481,Moti,Lammel,40000,1987-08-25,Senior Engineer
14483,Supot,Marrevee,40000,1986-01-30,Senior Engineer
14486,Indrajit,Birdsall,40000,1994-08-12,Senior Engineer
14498,Xiong,Selenyi,40000,1988-10-17,Senior Staff
14501,Taizo,Kroft,63646,1991-11-20,Technique Leader
